     0.000 D | Testing "/home/dennis/.local/share/PrismLauncher/qtlogging.ini" ...
     0.000 D | Testing "/usr/share/PrismLauncher/qtlogging.ini" ...
     0.000 D | Loading logging rules from: "/usr/share/PrismLauncher/qtlogging.ini"
     0.000 D | Setting log rules:
     0.000 D |      "*.debug=true"
     0.000 D |      "launcher.auth.credentials.debug=false"
     0.000 D |      "launcher.task=false"
     0.000 D |      "launcher.task.net=true"
     0.000 D |      "launcher.task.net.download.debug=false"
     0.000 D |      "launcher.task.net.metacache=false"
     0.000 D |      "launcher.task.net.metacache.http=true"
     0.000 D |      "launcher.task.net.upload=true"
     0.000 D |      "qt.*.debug=false"
     0.000 D | <> Log initialized.
     0.000 D | <> No migration needed from "PolyMC"
     0.000 D | <> No migration needed from "MultiMC"
     0.000 D | "Prism Launcher" , (c) 2013-2021  "Prism Launcher Contributors\n© 2021-2022 PolyMC Contributors \n© 2012-2021 MultiMC Contributors"
     0.000 D | Version                    :  "7.2"
     0.000 D | Platform                   :  "official"
     0.000 D | Git commit                 :  ""
     0.000 D | Git refspec                :  "refs/heads/stable"
     0.000 D | Work dir before adjustment :  "/home/dennis"
     0.000 D | Work dir after adjustment  :  "/home/dennis/.dotfiles/minecraft/.local/share/PrismLauncher"
     0.000 D | Adjusted by                :  "Persistent data path"
     0.000 D | Binary path                :  "/usr/bin"
     0.000 D | Application root path      :  "/usr"
     0.000 D | <> Paths set.
     0.000 D | Copied settings from "polymc.cfg" to "prismlauncher.cfg"
     0.005 D | Detected default console font: "Nimbus Mono PS" , substitutions: ""
     0.018 D | <> Settings loaded.
     0.033 D | Detecting proxy settings...
     0.033 D | Using no proxy is an option!
     0.033 D | <> Network done.
     0.035 D | Your language is "en_US"
     0.035 D | <> Translations loaded.
     0.036 D | Started watching  "/home/dennis/.dotfiles/minecraft/.local/share/PrismLauncher/icons"
     0.036 D | Sorting icon list...
     0.036 D | <> Instance icons intialized.
     0.037 D | [Theme] <> Icon themes initialized.
     0.037 D | [Theme] <> Initializing Widget Themes
     0.037 D | [Theme] Determining System Theme...
     0.037 D | [Theme] System theme seems to be: "qt5ct-style"
     0.037 D | [Theme] Considering theme from theme factory: "qt5ct-style"
     0.037 D | [Theme] System theme has been determined to be: "qt5ct-style"
     0.037 D | [Theme] Loading Built-in Theme: "system"
     0.037 D | [Theme] Loading Built-in Theme: "dark"
     0.037 D | [Theme] Loading Built-in Theme: "bright"
     0.037 D | [Theme] Theme Folder Path:  "/home/dennis/.dotfiles/minecraft/.local/share/PrismLauncher/themes"
     0.037 D | [Theme] Loading JSON Theme from: "/home/dennis/.dotfiles/minecraft/.local/share/PrismLauncher/themes/custom/theme.json"
     0.037 D | [Theme] <> Widget themes initialized.
     0.037 D | Instance path              :  "instances"
     0.037 D | Loading Instances...
     0.037 D | Discovering instances in "/home/dennis/.dotfiles/minecraft/.local/share/PrismLauncher/instances"
     0.037 D | Found instance ID "1.8.9"
     0.037 D | Found instance ID "1.20.1"
     0.037 D | Found instance ID "1.19.3"
     0.037 D | Will load group list now.
     0.037 D | Group list loaded.
     0.038 D | Loaded instance  "Skyblock 1.8.9"  from  "/home/dennis/.dotfiles/minecraft/.local/share/PrismLauncher/instances/1.8.9"
     0.038 D | Loaded instance  "\"1.20.1 \""  from  "/home/dennis/.dotfiles/minecraft/.local/share/PrismLauncher/instances/1.20.1"
     0.039 D | Loaded instance  "Survival 1.19.3"  from  "/home/dennis/.dotfiles/minecraft/.local/share/PrismLauncher/instances/1.19.3"
     0.039 D | <> Instances loaded.
     0.039 D | Loading accounts...
     0.039 D | AccountList: Queued default account with internal ID  "35a12c1987964c1095a32389e8b85428"  to refresh first
     0.039 D | AuthFlow: "Logging in with Microsoft account."
     0.039 D | DeviceFlow::refresh: Token: ... "!addg$$"
     0.042 D | RefreshSchedule: Processing account  "Speed6511"  with internal ID  "35a12c1987964c1095a32389e8b85428"
     0.042 D | <> Accounts loaded.
     0.044 D | <> Cache initialized.
     0.044 D | Downloading Translations Index...
     0.044 W | [launcher.task.net]: [HttpMetaCache] Removing cache entry because of old age!
     0.045 D | [Theme] <> Icon theme set.
     0.045 D | [Theme] applying theme "Dark"
     0.045 D | [Theme] <> Application theme set.
     0.060 D | [qt5ct]: D-Bus global menu: no
     0.073 D | Reloading news.
     0.074 D | Loading components
     0.079 D | Component list save is scheduled for "\"1.20.1 \""
     0.083 D | Resolving dependencies
     0.083 D | "Req: net.fabricmc.intermediary" Is met.
     0.083 D | "Req: net.minecraft == 1.20.1" Is met.
     0.083 D | "Req: org.lwjgl3" Is met.
     0.083 D | Component list update/resolve task succeeded for "\"1.20.1 \""
     0.111 D | <> Main window shown.
     0.113 D | [qt5ct]: palette support is disabled
     0.136 D | Dir changed: "/home/dennis/.dotfiles/minecraft/.local/share/PrismLauncher/translations"
     0.240 D | Got translations index!
     0.240 D | Dir changed: "/home/dennis/.dotfiles/minecraft/.local/share/PrismLauncher/translations"
     0.449 D | Finished loading RSS feed.
     0.458 D | Loaded news entry "[MALWARE WARNING] RCE Vulnerability on some modded servers - Bleeding Pipe"
     0.458 D | Loaded news entry "Prism Launcher Release 7.2, now available"
     0.458 D | Loaded news entry "Prism Launcher Release 7.1, now available"
     0.458 D | Loaded news entry "Prism Launcher Release 7.0, now available"
     0.458 D | Loaded news entry "FTB Modpack Downloading Removal."
